experiment,variant,window_start_unix_ms,original_requests,retry_attempts,total_attempts,retry_amplification,error_rate
retry_budget,without_budget,1780839916208,1000,1000,2000,2.000000,1.0
retry_budget,with_budget,1780839916724,1000,150,1150,1.150000,1.0
