experiment,variant,window_start_unix_ms,window_end_unix_ms,requests,throughput_rps,latency_p50_ms,latency_p95_ms,latency_p99_ms,error_rate
retry_budget,without_budget,1780841434641,1780841435099,1000,2183.406,,,,1.0
retry_budget,with_budget,1780841435143,1780841435483,1000,2941.176,,,,1.0
