experiment,variant,window_start_unix_ms,window_end_unix_ms,requests,throughput_rps,latency_p50_ms,latency_p95_ms,latency_p99_ms,error_rate
retry_budget,without_budget,1780841437762,1780841438207,1000,2247.191,,,,1.0
retry_budget,with_budget,1780841438268,1780841438717,1000,2227.171,,,,1.0
