experiment,variant,timestamp_unix_ms,endpoint,slow_score,p99_latency_ms,route_weight,state
cpu_throttle,slow_score,1780838109116,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
cpu_throttle,slow_score,1780838110117,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
cpu_throttle,slow_score,1780838111117,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
cpu_throttle,slow_score,1780838112116,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
cpu_throttle,slow_score,1780838113117,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
recovery_curve,adaptive_p2c,1780838293896,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
recovery_curve,adaptive_p2c,1780838294896,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
recovery_curve,adaptive_p2c,1780838295896,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
recovery_curve,adaptive_p2c,1780838296896,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
recovery_curve,adaptive_p2c,1780838297895,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
recovery_curve,adaptive_p2c,1780838298896,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
recovery_curve,adaptive_p2c,1780838299896,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
recovery_curve,adaptive_p2c,1780838300895,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
recovery_curve,adaptive_p2c,1780838301896,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
recovery_curve,adaptive_p2c,1780838302895,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
recovery_curve,adaptive_p2c,1780838303895,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
recovery_curve,adaptive_p2c,1780838304896,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
recovery_curve,adaptive_p2c,1780838305896,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
recovery_curve,adaptive_p2c,1780838306895,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
recovery_curve,adaptive_p2c,1780838307896,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
recovery_curve,adaptive_p2c,1780838308896,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
recovery_curve,adaptive_p2c,1780838309895,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
recovery_curve,adaptive_p2c,1780838310895,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
recovery_curve,adaptive_p2c,1780838311896,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
recovery_curve,adaptive_p2c,1780838312896,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
recovery_curve,adaptive_p2c,1780838313896,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
recovery_curve,adaptive_p2c,1780838314896,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
recovery_curve,adaptive_p2c,1780838315895,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
recovery_curve,adaptive_p2c,1780838316896,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
recovery_curve,adaptive_p2c,1780838317896,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
recovery_curve,adaptive_p2c,1780838318896,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
recovery_curve,adaptive_p2c,1780838319896,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
recovery_curve,adaptive_p2c,1780838320896,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
recovery_curve,adaptive_p2c,1780838321896,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
recovery_curve,adaptive_p2c,1780838322896,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
