run_id,experiment,variant,timestamp_unix_ms,endpoint,slow_score,p99_latency_ms,route_weight,state
legacy,cpu_throttle,slow_score,1780837646532,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780837647531,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780837648531,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780837649531,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780837650531,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780837651531,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780837652531,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780837653531,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780837654531,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780837655531,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780837656531,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780837657531,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780837658530,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780837659530,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780837660531,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780837661531,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780837662531,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780837663532,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780837664532,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780837665531,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780837666530,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,cpu_throttle,slow_score,1780837667530,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,recovery_curve,adaptive_p2c,1780837752123,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,recovery_curve,adaptive_p2c,1780837753124,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,recovery_curve,adaptive_p2c,1780837754124,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,recovery_curve,adaptive_p2c,1780837755123,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,recovery_curve,adaptive_p2c,1780837756124,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,recovery_curve,adaptive_p2c,1780837757124,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,recovery_curve,adaptive_p2c,1780837758123,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,recovery_curve,adaptive_p2c,1780837759124,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,recovery_curve,adaptive_p2c,1780837760123,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,recovery_curve,adaptive_p2c,1780837761124,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,recovery_curve,adaptive_p2c,1780837762123,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,recovery_curve,adaptive_p2c,1780837763123,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,recovery_curve,adaptive_p2c,1780837764124,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,recovery_curve,adaptive_p2c,1780837765124,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,recovery_curve,adaptive_p2c,1780837766124,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,recovery_curve,adaptive_p2c,1780837767123,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,recovery_curve,adaptive_p2c,1780837768124,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,recovery_curve,adaptive_p2c,1780837769123,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,recovery_curve,adaptive_p2c,1780837770124,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,recovery_curve,adaptive_p2c,1780837771124,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,recovery_curve,adaptive_p2c,1780837772124,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,recovery_curve,adaptive_p2c,1780837773123,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,single_instance_delay,adaptive_p2c,1780838053722,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,single_instance_delay,adaptive_p2c,1780838054723,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,single_instance_delay,adaptive_p2c,1780838055722,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,single_instance_delay,adaptive_p2c,1780838056722,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,single_instance_delay,adaptive_p2c,1780838057723,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,single_instance_delay,adaptive_p2c,1780838058723,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
legacy,single_instance_delay,adaptive_p2c,1780838059723,172.18.0.3:7001,0.000000,,1.000000,HEALTHY
